entity,label,source_title,source_url
Chinese,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
c. 475 – 221 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the final centuries,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Zhou dynasty,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
c. 1046 – 256 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Spring and Autumn period,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Qin,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
221 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Qin dynasty,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
East Asian,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Warring States,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sima Qian's,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
475 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the second half of the Eastern Zhou,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Warring States,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the early Han dynasty,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the era,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Seven Warring States,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Qin,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Wei River Valley,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Guanzhong,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shanxi,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jin,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Yellow River,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wei,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
today,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Henan Province,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Hebei Province,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shanxi Province,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Qi,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Shandong Peninsula,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Chu,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Han River,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Yangtze River,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
modern-day,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Beijing,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Liaodong Peninsula,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Luoyi,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Han,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yue,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shanghai,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the State of Yue,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the late Spring and Autumn era,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhongshan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
296 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sichuan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
non-Zhou,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Ba,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shu,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Central Plains,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jins,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Song,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Lu,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wey,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Teng,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yue,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
771 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Warring States era,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
481 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Song-era,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Lü Zuqian,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
this year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sima Qian,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
c. 91 – c. BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the inaugural year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yuan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
453 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Han,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wei,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
441 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Ai,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
403 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
The year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sima Guang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the 5th century BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Chu,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Qi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
between 535 and 286 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Western Zhou dynasty,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Luoyang,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Spring and Autumn,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Central Plain,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Cai,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Cao,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Chen,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wey,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wu,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
The last decades,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Spring and Autumn era,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jin,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the middle of the 6th century,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jin,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
decades,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Almost exactly 25 years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Confucius,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
479 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Taiyuan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Earl Chih,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wu Xu,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Early Warring States,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Weilie,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
405 until 383 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wen,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the State of Zhongshan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Luo River,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xihe,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the [Yellow] river,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wei,ORG,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
383 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Handan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
376 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Han,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jing,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
370 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wu,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
three years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Hui,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Lu,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Song,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yellow River valley,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Tian,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Kang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
379 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jiang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
more than 20 years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
362–359 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
364 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Battle of Shimen,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
362 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
361 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Daliang,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
354 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
353 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sun Bin,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Sun Tzu,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wei,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Battle of Guiling,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Confucian,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Mencius,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Meng Zi's,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
344 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
c. 703 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shang Yang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Warring States,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xiao,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
between the years 356 and 338 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
343 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Son of Heaven,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wèi,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
341 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Tian Ji,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Pang Juan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Battle of Maling,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xuan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the following year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
China,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xiang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
334 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
389 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Dao,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wu Qi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Pacific,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
The King of Qi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xian,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
325 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Zhou dynasty.[7,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhang Yi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the School of Diplomacy.[8,ORG,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
323 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xuanhui,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Cuo,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhongshan.[4,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
318 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wuling,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
314 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Kao,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Huan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Henan,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Three generations later,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
"East Zhou"".[7",LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Nan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
East Zhou,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
West Zhou.[7,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
hezong,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Su Qin,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the School of Diplomacy,ORG,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
311 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
one year later,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
only four years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
307 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
an unprecedented 53 years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
300 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Su,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Min,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Mengchang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the State of Zhao,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
299 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
298 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Hangu Pass,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
3 years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
5-year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Bai Qi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Battle of Yique,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Su Dai,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
287 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Su Qin[9,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Di,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
285 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yue Yi,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Chu,ORG,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Ju,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jimo,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
283 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Tian Dan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
278 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Ying,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Ordos Loop,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Huiwen,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Lian Po,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
269 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Fan Sui,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhaoxiang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yellow River,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Shangdang,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xiaocheng,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Changping,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wang He,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhao Kuo,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Cannae,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
46 days,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
September 260 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
257 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the Battle of Handan,EVENT,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
West Zhou,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
256 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
251 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xiaowen,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
three days,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Zhuangxiang,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
East Zhou,LOC,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
seven years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
the 800-year,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Yangren,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
only three years,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
only 13 years old,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
230 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Wang Jian,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
An,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
225 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jia,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
223 BC,DATE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Li Xin,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Chu,NORP,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Huaiyang,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Jiangsu,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Anhui,GPE,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
Xiang Yan,PERSON,Warring States period,https://en.wikipedia.org/wiki/Warring_States_period
