subject,predicate,object,source_url
Zhao,call,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,invade,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Shang Yang,reform,Qin,https://en.wikipedia.org/wiki/Warring_States_period
Qin,conquer,Shu,https://en.wikipedia.org/wiki/Warring_States_period
Qin,defeat,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Wei,attack,Han,https://en.wikipedia.org/wiki/Warring_States_period
Qin,attack,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Hui,meet,Xuan,https://en.wikipedia.org/wiki/Warring_States_period
Chu,conquer,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,send,Lian Po,https://en.wikipedia.org/wiki/Warring_States_period
Qin,send,Wang He,https://en.wikipedia.org/wiki/Warring_States_period
Qin,replace,Wang He,https://en.wikipedia.org/wiki/Warring_States_period
Qin,unite,China,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,send,Wang Jian,https://en.wikipedia.org/wiki/Warring_States_period
Qin,conquer,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Qin,conquer,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Xiang Yan,lure,Qin,https://en.wikipedia.org/wiki/Warring_States_period
Qin,conquer,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Dan,send,Jing Ke,https://en.wikipedia.org/wiki/Warring_States_period
Qin,conquer,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,overthrow,Shang,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,East Asian,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Chinese,https://en.wikipedia.org/wiki/Warring_States_period
the Seven Warring States,co_occurs_with,Qin,https://en.wikipedia.org/wiki/Warring_States_period
the Seven Warring States,co_occurs_with,Guanzhong,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,Guanzhong,https://en.wikipedia.org/wiki/Warring_States_period
Shanxi,co_occurs_with,Jin,https://en.wikipedia.org/wiki/Warring_States_period
Wei,co_occurs_with,Henan Province,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,co_occurs_with,Hebei Province,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,co_occurs_with,Shanxi Province,https://en.wikipedia.org/wiki/Warring_States_period
Hebei Province,co_occurs_with,Shanxi Province,https://en.wikipedia.org/wiki/Warring_States_period
Qi,co_occurs_with,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Yan,co_occurs_with,Beijing,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Luoyi,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Han,https://en.wikipedia.org/wiki/Warring_States_period
Luoyi,co_occurs_with,Han,https://en.wikipedia.org/wiki/Warring_States_period
Yue,co_occurs_with,Shanghai,https://en.wikipedia.org/wiki/Warring_States_period
Yue,co_occurs_with,the State of Yue,https://en.wikipedia.org/wiki/Warring_States_period
Yue,co_occurs_with,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Shanghai,co_occurs_with,the State of Yue,https://en.wikipedia.org/wiki/Warring_States_period
Shanghai,co_occurs_with,Chu,https://en.wikipedia.org/wiki/Warring_States_period
the State of Yue,co_occurs_with,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Zhongshan,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Zhongshan,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Zhongshan,co_occurs_with,Zhongshan,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
non-Zhou,co_occurs_with,Ba,https://en.wikipedia.org/wiki/Warring_States_period
non-Zhou,co_occurs_with,Shu,https://en.wikipedia.org/wiki/Warring_States_period
Ba,co_occurs_with,Shu,https://en.wikipedia.org/wiki/Warring_States_period
Jins,co_occurs_with,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Jins,co_occurs_with,Chu,https://en.wikipedia.org/wiki/Warring_States_period
Song,co_occurs_with,Lu,https://en.wikipedia.org/wiki/Warring_States_period
Song,co_occurs_with,Zheng,https://en.wikipedia.org/wiki/Warring_States_period
Song,co_occurs_with,Wey,https://en.wikipedia.org/wiki/Warring_States_period
Song,co_occurs_with,Teng,https://en.wikipedia.org/wiki/Warring_States_period
Song,co_occurs_with,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Lu,co_occurs_with,Zheng,https://en.wikipedia.org/wiki/Warring_States_period
Lu,co_occurs_with,Wey,https://en.wikipedia.org/wiki/Warring_States_period
Lu,co_occurs_with,Teng,https://en.wikipedia.org/wiki/Warring_States_period
Lu,co_occurs_with,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,co_occurs_with,Wey,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,co_occurs_with,Teng,https://en.wikipedia.org/wiki/Warring_States_period
Zheng,co_occurs_with,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Wey,co_occurs_with,Teng,https://en.wikipedia.org/wiki/Warring_States_period
Wey,co_occurs_with,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Teng,co_occurs_with,Yue,https://en.wikipedia.org/wiki/Warring_States_period
Sima Qian,co_occurs_with,Yuan,https://en.wikipedia.org/wiki/Warring_States_period
Sima Qian,co_occurs_with,Zhou,https://en.wikipedia.org/wiki/Warring_States_period
Yuan,co_occurs_with,Zhou,https://en.wikipedia.org/wiki/Warring_States_period
Han,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Han,co_occurs_with,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Zhao,co_occurs_with,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Ai,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Zhou,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Sima Guang,co_occurs_with,Zhou,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Han,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Qin,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Han,co_occurs_with,Qin,https://en.wikipedia.org/wiki/Warring_States_period
Han,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Han,co_occurs_with,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,Wei,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Qin,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Wei,co_occurs_with,Yan,https://en.wikipedia.org/wiki/Warring_States_period
Wei,co_occurs_with,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Yan,co_occurs_with,Qi,https://en.wikipedia.org/wiki/Warring_States_period
Qi,co_occurs_with,Zhao,https://en.wikipedia.org/wiki/Warring_States_period
Zhou,co_occurs_with,Luoyang,https://en.wikipedia.org/wiki/Warring_States_period
Chu,co_occurs_with,Zheng,https://en.wikipedia.org/wiki/Warring_States_period
